skill,users_2024,users_2025,share_2024,share_2025,share_change_2025_minus_2024
Economic Analysis,261,59,0.10473515248796147,0.09882747068676717,-0.005907681801194303
AWS,211,47,0.08467094703049759,0.07872696817420435,-0.005943978856293233
Microsoft Power BI Report Server,36,5,0.014446227929373997,0.008375209380234505,-0.006071018549139492
Economic Research,220,49,0.08828250401284109,0.08207705192629816,-0.006205452086542926
Operational Risk Management,28,3,0.011235955056179775,0.005025125628140704,-0.006210829428039071
Food Product Development,24,2,0.009630818619582664,0.0033500837520938024,-0.006280734867488862
Crispr Gene Editing,24,2,0.009630818619582664,0.0033500837520938024,-0.006280734867488862
HTML Application,58,10,0.023274478330658106,0.01675041876046901,-0.006524059570189096
Retail Sales Analysis,33,4,0.013242375601926164,0.006700167504187605,-0.006542208097738559
Wedding Planning,367,84,0.1472712680577849,0.1407035175879397,-0.006567750469845202
8d Problem Solving,29,3,0.011637239165329053,0.005025125628140704,-0.0066121135371883496
Customer Research,29,3,0.011637239165329053,0.005025125628140704,-0.0066121135371883496
Asynchronous JavaScript,25,2,0.010032102728731942,0.0033500837520938024,-0.00668201897663814
Java Annotation,42,6,0.016853932584269662,0.010050251256281407,-0.006803681327988255
Electrical Engineering,55,9,0.022070626003210272,0.01507537688442211,-0.006995249118788162
Engineering Mathematics,55,9,0.022070626003210272,0.01507537688442211,-0.006995249118788162
Android Development,26,2,0.01043338683788122,0.0033500837520938024,-0.007083303085787418
AWS Lambda,47,7,0.01886035313001605,0.011725293132328308,-0.007135059997687742
Public Relations Campaigns,47,7,0.01886035313001605,0.011725293132328308,-0.007135059997687742
Azure DevOps Server,35,4,0.014044943820224719,0.006700167504187605,-0.007344776316037114
Bash,35,4,0.014044943820224719,0.006700167504187605,-0.007344776316037114
Service Portfolio Management,31,3,0.012439807383627608,0.005025125628140704,-0.007414681755486904
NI LabVIEW,27,2,0.010834670947030497,0.0033500837520938024,-0.007484587194936694
Express.js,48,7,0.019261637239165328,0.011725293132328308,-0.0075363441068370205
JS Framework,161,34,0.06460674157303371,0.05695142378559464,-0.007655317787439074
Adobe Premiere Pro CC,36,4,0.014446227929373997,0.006700167504187605,-0.007746060425186392
Continuousflow Manufacturing,57,9,0.022873194221508828,0.01507537688442211,-0.007797817337086718
Full Software Development Lifecycle,32,3,0.012841091492776886,0.005025125628140704,-0.007815965864636183
Siemens NX,28,2,0.011235955056179775,0.0033500837520938024,-0.007885871304085973
Ruby on Rails,28,2,0.011235955056179775,0.0033500837520938024,-0.007885871304085973
Computational Science and Engineering,91,17,0.03651685393258427,0.02847571189279732,-0.00804114203978695
Data Structure Libraries,208,45,0.08346709470304976,0.07537688442211055,-0.008090210280939217
Rust,37,4,0.014847512038523275,0.006700167504187605,-0.00814734453433567
International Economic Law,37,4,0.014847512038523275,0.006700167504187605,-0.00814734453433567
Inmemory Database,79,14,0.03170144462279294,0.023450586264656615,-0.008250858358136322
Verilog HDL,29,2,0.011637239165329053,0.0033500837520938024,-0.00828715541323525
Agile Project Management Tools,38,4,0.015248796147672551,0.006700167504187605,-0.008548628643484947
Commercial Banking,34,3,0.013643659711075442,0.005025125628140704,-0.00861853408293474
3D Printing,34,3,0.013643659711075442,0.005025125628140704,-0.00861853408293474
Machine Learning Algorithms,431,98,0.17295345104333867,0.16415410385259632,-0.008799347190742351
Object-Oriented Programming,139,28,0.0557784911717496,0.04690117252931323,-0.00887731864243637
Electronic Circuit Design,39,4,0.01565008025682183,0.006700167504187605,-0.008949912752634227
Dependency Management,177,37,0.07102728731942215,0.06197654941373534,-0.009050737905686806
Kotlin,56,8,0.02247191011235955,0.01340033500837521,-0.00907157510398434
Financial Management Services,28,1,0.011235955056179775,0.0016750418760469012,-0.009560913180132875
Higher Education Law,28,1,0.011235955056179775,0.0016750418760469012,-0.009560913180132875
Arduino Uno,49,6,0.019662921348314606,0.010050251256281407,-0.009612670092033199
OCaml,58,8,0.023274478330658106,0.01340033500837521,-0.009874143322282897
HTML5,96,17,0.038523274478330656,0.02847571189279732,-0.010047562585533337
Java Compilers,63,9,0.025280898876404494,0.01507537688442211,-0.010205521991982384
Social Media Apis,456,103,0.18298555377207062,0.17252931323283083,-0.010456240539239797
Sales Leadership,235,50,0.09430176565008026,0.08375209380234507,-0.010549671847735198
Molecular Biology Assays,139,27,0.0557784911717496,0.04522613065326633,-0.010552360518483267
Unix Shell,54,6,0.021669341894060994,0.010050251256281407,-0.011619090637779586
Engineering Project Management,100,17,0.04012841091492777,0.02847571189279732,-0.01165269902213045
Large Scale Distributed Systems,171,34,0.06861958266452649,0.05695142378559464,-0.011668158878931849
SolidWorks Composer,46,4,0.018459069020866775,0.006700167504187605,-0.01175890151667917
Embedded Systems Development,105,18,0.042134831460674156,0.03015075376884422,-0.011984077691829936
Model Based Systems Engineering,30,0,0.012038523274478331,0.0,-0.012038523274478331
Technical Project Leadership,56,6,0.02247191011235955,0.010050251256281407,-0.012421658856078143
Direct Investments,53,5,0.02126805778491172,0.008375209380234505,-0.012892848404677214
Derivative Valuation,296,63,0.1187800963081862,0.10552763819095477,-0.013252458117231428
Apollo GraphQL,55,5,0.022070626003210272,0.008375209380234505,-0.013695416622975767
jQuery UI,172,33,0.06902086677367576,0.05527638190954774,-0.01374448486412802
Financial Risk Modeling,160,30,0.06420545746388442,0.05025125628140704,-0.013954201182477387
Capital Markets,261,54,0.10473515248796147,0.09045226130653267,-0.014282891181428808
Management Reporting,58,5,0.023274478330658106,0.008375209380234505,-0.014899268950423601
Quantitative Analysis,109,17,0.04373996789727127,0.02847571189279732,-0.01526425600447395
3D CAD,109,17,0.04373996789727127,0.02847571189279732,-0.01526425600447395
Project Management Institute Methodology,135,23,0.05417335473515249,0.038525963149078725,-0.015647391586073763
Docker Compose,65,6,0.02608346709470305,0.010050251256281407,-0.01603321583842164
Web App Development,138,23,0.05537720706260032,0.038525963149078725,-0.016851243913521594
Scholarship of Teaching and Learning,81,9,0.032504012841091494,0.01507537688442211,-0.017428635956669384
Applied Statistics,174,31,0.06982343499197431,0.051926298157453935,-0.017897136834520377
Model Training,220,42,0.08828250401284109,0.07035175879396985,-0.01793074521887124
Native SQL,337,70,0.13523274478330657,0.11725293132328309,-0.01797981346002349
React Native,299,60,0.11998394863563402,0.10050251256281408,-0.01948143607281995
Research and Development,145,23,0.05818619582664526,0.038525963149078725,-0.019660232677566537
Data Analysis Tools,310,62,0.12439807383627609,0.10385259631490787,-0.02054547752136822
Research Analyst,125,16,0.05016051364365971,0.02680067001675042,-0.023359843626909294
Technical Leadership,423,87,0.16974317817014445,0.1457286432160804,-0.024014534954064054
TypeScript,215,37,0.0862760834670947,0.06197654941373534,-0.024299534053359356
VBA Excel,672,145,0.2696629213483146,0.24288107202680068,-0.026781849321513923
PHP Frameworks,266,47,0.10674157303370786,0.07872696817420435,-0.02801460485950351
Python for Data Science,863,190,0.34630818619582665,0.31825795644891125,-0.0280502297469154
Technical Problem Solving,230,36,0.09229534510433386,0.06030150753768844,-0.03199383756664542
Microsoft,723,153,0.29012841091492775,0.2562814070351759,-0.03384700387975187
Analyses Big Data,398,75,0.15971107544141253,0.12562814070351758,-0.03408293473789495
Computer Programming,411,77,0.16492776886035312,0.12897822445561138,-0.03594954440474174
Java XML,299,50,0.11998394863563402,0.08375209380234507,-0.03623185483328896
Algorithms,473,90,0.18980738362760835,0.1507537688442211,-0.03905361478338726
UX Research,543,102,0.21789727126805777,0.1708542713567839,-0.047042999911273864
Microsoft Windows,504,92,0.20224719101123595,0.1541038525963149,-0.04814333841492105
Embedded Software Programming,567,105,0.22752808988764045,0.17587939698492464,-0.051648692902715815
Engaging Public Speaker,922,184,0.36998394863563405,0.3082077051926298,-0.06177624344300425
Agile Project Management,665,122,0.26685393258426965,0.20435510887772193,-0.06249882370654772
C#,647,115,0.25963081861958265,0.19262981574539365,-0.067001002874189
Git Flow,549,91,0.22030497592295345,0.152428810720268,-0.06787616520268544
MySQL Workbench,635,110,0.25481540930979135,0.18425460636515914,-0.07056080294463221
Cascading Style Sheets,770,142,0.3089887640449438,0.23785594639865998,-0.07113281764628382
Simulink,616,105,0.24719101123595505,0.17587939698492464,-0.07131161425103041
Open Programming Language,696,123,0.27929373996789725,0.20603015075376885,-0.0732635892141284
Software Application Development,852,159,0.3418940609951846,0.2663316582914573,-0.07556240270372733
Structured Query Language Procedural Language,1107,220,0.4442215088282504,0.3685092127303183,-0.07571229609793212
C++,1322,267,0.5304975922953451,0.4472361809045226,-0.08326141139082249
Gentoo Linux,785,136,0.315008025682183,0.22780569514237856,-0.08720233053980445
Prototype JavaScript Framework,923,169,0.3703852327447833,0.2830820770519263,-0.08730315569285702
Java API for RESTful Web Services,824,143,0.3306581059390048,0.23953098827470687,-0.09112711766429793
HTML Components,887,158,0.3559390048154093,0.2646566164154104,-0.09128238839999891
Python Flask,1078,196,0.43258426966292135,0.32830820770519265,-0.1042760619577287
